#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalTests,Population,Continent
,,,,,,,,,,,,
,"
North America
","131,889,132",,"1,695,941",,"127,665,129",+350,"2,528,062","6,095",,,North America
,"
Asia
","221,500,265",,"1,553,662",,"205,673,091",,"14,273,512","14,733",,,Asia
,"
Europe
","253,406,198",,"2,101,824",,"248,754,104",+474,"2,550,270","4,453",,,Europe
,"
South America
","70,200,879",,"1,367,332",,"66,683,585",,"2,149,962","8,953",,,South America
,"
Oceania
","14,895,771",,"33,015",,"14,752,388",,"110,368",31,,,Australia/Oceania
,"
Africa
","12,860,924",,"258,892",,"12,090,808",,"511,224",529,,,Africa
,"

",721,,15,,706,,0,0,,,
126,Cameroon,"125,379",,"1,974                                ",,"123,280",,125,N/A,"1,751,774","27,911,548 ",Africa
127,Malta,"121,420",,885                                ,,"120,149",,386,,"2,170,600","444,033 ",Europe
128,Barbados,"110,578",,648                                ,,"108,647",,"1,283",,"814,159","288,023 ",North America
129,Angola,"107,327",,"1,937                                ",,"103,419",,"1,971",,"1,499,795","35,027,343 ",Africa
130,Channel Islands,"101,717",,228                                ,,"101,321",,168,,"1,252,808","176,463 ",Europe
131,DRC,"99,338",,"1,468                                ",,"84,489",,"13,381",,"846,704","95,240,792 ",Africa
132,French Guiana,"98,041",,420                                ,,"11,254",,"86,367",6,"651,257","314,169 ",South America
133,Malawi,"89,535",,"2,686                                ",,N/A,N/A,N/A,N/A,"624,784","20,180,839 ",Africa
134,Senegal,"89,053",,"1,971                                ",,"87,024",,58,,"1,146,543","17,653,671 ",Africa
135,Ivory Coast,"88,384",,835                                ,,"87,497",,52,,"1,690,934","27,742,298 ",Africa
136,Suriname,"82,588",,"1,408                                ",,N/A,N/A,N/A,,"242,207","596,831 ",South America
137,New Caledonia,"80,064",,314                                ,,N/A,N/A,N/A,N/A,"98,964","290,915 ",Australia/Oceania
138,French Polynesia,"79,254",,650                                ,,N/A,N/A,N/A,N/A,,"284,164 ",Australia/Oceania
139,Eswatini,"75,191",,"1,427                                ",,"73,116",,648,,"1,048,704","1,184,817 ",Africa
140,Guyana,"74,137",,"1,300                                ",,"72,013",,824,,"733,218","794,045 ",South America
141,Belize,"71,409",,688                                ,,N/A,N/A,N/A,N/A,"576,016","412,190 ",North America
142,Fiji,"69,117",,885                                ,,"67,226",,"1,006",,"672,883","909,466 ",Australia/Oceania
143,Madagascar,"68,486",,"1,426                                ",,"66,862",,198,,"531,329","29,178,077 ",Africa
144,Cabo Verde,"64,477",,417                                ,,"63,755",,305,23,"401,622","567,678 ",Africa
145,Sudan,"63,993",,"5,046                                ",,"58,947",,0,,"562,941","45,992,020 ",Africa
146,Mauritania,"63,848",,997                                ,,"62,471",,380,,"1,009,957","4,901,981 ",Africa
147,Bhutan,"62,697",,21                                ,,"61,564",,"1,112",,"2,303,734","787,941 ",Asia
148,Syria,"57,743",,"3,165                                ",,"54,578",,0,,"146,269","19,364,809 ",Asia
149,Burundi,"54,721",,38                                ,,"53,569",,"1,114",,"345,742","12,624,840 ",Africa
150,Seychelles,"51,220",,172                                ,,"51,048",,0,,,"99,426 ",Africa
151,Gabon,"49,051",,307                                ,,"48,674",,70,,"1,621,909","2,331,533 ",Africa
152,Andorra,"48,015",,165                                ,,N/A,N/A,N/A,N/A,"249,838","77,463 ",Europe
153,Papua New Guinea,"46,864",,670                                ,,"46,168",,26,N/A,"249,149","9,292,169 ",Australia/Oceania
154,Curaçao,"45,986",,295                                ,,"44,720",,971,3,"496,693","165,529 ",North America
155,Aruba,"44,224",,292                                ,,"42,438",,"1,494",2,"177,885","107,609 ",North America
156,Tanzania,"43,223",,846                                ,,N/A,N/A,N/A,N/A,,"63,298,550 ",Africa
157,Mauritius,"43,025",,"1,051                                ",,"41,278",,696,,"358,675","1,274,727 ",Africa
158,Mayotte,"42,027",,188                                ,,N/A,N/A,N/A,,"176,919","286,259 ",Africa
159,Togo,"39,572",,290                                ,,"39,281",,1,,"815,204","8,680,837 ",Africa
160,Guinea,"38,572",,468                                ,,"37,757",,347,N/A,"660,107","13,865,691 ",Africa
161,Bahamas,"38,084",,844                                ,,"36,366",,874,1,"257,839","400,516 ",North America
162,Isle of Man,"38,008",,116                                ,,N/A,N/A,N/A,,"150,753","85,732 ",Europe
163,Lesotho,"36,138",,723                                ,,"25,980",,"9,435",,"431,221","2,175,699 ",Africa
164,Haiti,"34,667",,860                                ,,"33,734",,73,,"132,422","11,680,283 ",North America
165,Faeroe Islands,"34,658",,28                                ,,N/A,N/A,N/A,N/A,"778,000","49,233 ",Europe
166,Mali,"33,164",,743                                ,,"32,332",,89,,"804,909","21,473,764 ",Africa
167,Cayman Islands,"31,472",,37                                ,,"8,553",,"22,882",1,"222,773","67,277 ",North America
168,Saint Lucia,"30,215",,410                                ,,"29,805",,0,,"210,983","185,113 ",North America
169,Benin,"28,036",,163                                ,,"27,847",,26,,"604,310","12,784,726 ",Africa
170,Macao,"27,673",,123                                ,,"3,487",,"24,063",,"7,850","667,490 ",Asia
171,Somalia,"27,334",,"1,361                                ",,"13,182",,"12,791",,"400,466","16,841,795 ",Africa
172,Micronesia,"26,547",,65                                ,,N/A,N/A,N/A,N/A,"82,430","117,489 ",Australia/Oceania
173,San Marino,"26,185",,128                                ,,"26,011",,46,N/A,"196,855","34,085 ",Europe
174,Solomon Islands,"25,954",,199                                ,,N/A,N/A,N/A,N/A,,"721,159 ",Australia/Oceania
175,Congo,"25,375",,386                                ,,"24,006",,983,,"347,815","5,797,805 ",Africa
176,Timor-Leste,"23,460",,138                                ,,"23,102",,220,,"278,529","1,369,429 ",Asia
177,Burkina Faso,"22,114",,400                                ,,"21,596",,118,,"248,995","22,102,838 ",Africa
178,Liechtenstein,"21,574",,94                                ,,N/A,N/A,N/A,N/A,"112,457","38,387 ",Europe
179,Gibraltar,"20,550",,113                                ,,N/A,N/A,N/A,,"534,283","33,704 ",Europe
180,Grenada,"19,693",,238                                ,,"19,358",,97,4,"182,981","113,475 ",North America
181,Bermuda,"18,860",,165                                ,,"18,685",,10,,"1,029,558","61,939 ",North America
182,South Sudan,"18,819",,147                                ,,"18,115",,557,1,"410,280","11,618,511 ",Africa
183,Nicaragua,"18,491",,225                                ,,"4,225",,"14,041",,,"6,779,100 ",North America
184,Tajikistan,"17,786",,125                                ,,"17,264",,397,,,"9,957,464 ",Asia
185,Equatorial Guinea,"17,229",,183                                ,,"16,907",,139,5,"365,697","1,496,662 ",Africa
186,Monaco,"17,181",,67                                ,,N/A,N/A,N/A,N/A,"78,646","39,783 ",Europe
187,Samoa,"17,006",,31                                ,,"1,605",,"15,370",,"187,397","202,239 ",Australia/Oceania
188,Tonga,"16,950",,13                                ,,"15,638",,"1,299",,"535,009","107,749 ",Australia/Oceania
189,Marshall Islands,"16,138",,17                                ,,"16,121",,0,,,"60,057 ",Australia/Oceania
190,Dominica,"16,038",,74                                ,,"15,964",,0,,"229,344","72,344 ",North America
191,Djibouti,"15,690",,189                                ,,"15,427",,74,,"305,941","1,016,097 ",Africa
192,CAR,"15,440",,113                                ,,"15,200",,127,2,"81,294","5,016,678 ",Africa
193,Gambia,"12,626",,372                                ,,"12,189",,65,,"155,686","2,558,482 ",Africa
194,Saint Martin,"12,324",,63                                ,,N/A,N/A,N/A,N/A,"112,382","39,730 ",North America
195,Vanuatu,"12,019",,14                                ,,"11,976",,29,,"24,976","321,832 ",Australia/Oceania
196,Greenland,"11,971",,21                                ,,"2,761",,"9,189",4,"164,926","56,973 ",North America
197,Yemen,"11,945",,"2,159                                ",,"9,124",,662,N/A,"329,592","31,154,867 ",Asia
198,Caribbean Netherlands,"11,682",,38                                ,,"10,476",,"1,168",,"30,126","26,647 ",North America
199,Sint Maarten,"11,051",,92                                ,,"10,905",,54,N/A,"62,056","43,966 ",North America
200,Eritrea,"10,189",,103                                ,,"10,086",,0,,"23,693","3,662,244 ",Africa
201,Niger,"9,931",,312                                ,,"8,890",,729,1,"254,538","26,083,660 ",Africa
202,St. Vincent Grenadines,"9,674",,124                                ,,"9,493",,57,,"114,197","111,551 ",North America
203,Guinea-Bissau,"9,614",,177                                ,,"8,929",,508,6,"145,231","2,063,367 ",Africa
204,Comoros,"9,109",,161                                ,,"8,939",,9,,,"907,419 ",Africa
205,Antigua and Barbuda,"9,106",,146                                ,,"8,954",,6,N/A,"18,901","99,509 ",North America
206,Liberia,"8,090",,295                                ,,"7,783",,12,2,"139,824","5,305,117 ",Africa
207,Sierra Leone,"7,779",,126                                ,,N/A,N/A,N/A,,"259,958","8,306,436 ",Africa
208,Chad,"7,701",,194                                ,,"4,874",,"2,633",,"191,341","17,413,580 ",Africa
209,British Virgin Islands,"7,392",,64                                ,,N/A,N/A,N/A,,"107,339","30,596 ",North America
210,Cook Islands,"7,203",,2                                ,,"7,150",,51,,"19,690","17,571 ",Australia/Oceania
211,Sao Tome and Principe,"6,778",,80                                ,,"6,685",,13,,"29,600","227,679 ",Africa
212,Turks and Caicos,"6,752",,40                                ,,"6,709",,3,4,"616,788","39,741 ",North America
213,Saint Kitts and Nevis,"6,607",,48                                ,,"6,559",,0,,"126,958","53,871 ",North America
214,Palau,"6,290",,10                                ,,"6,276",,4,,"71,434","18,233 ",Australia/Oceania
215,St. Barth,"5,507",,6                                ,,N/A,N/A,N/A,,"78,646","9,945 ",North America
216,Nauru,"5,393",,1                                ,,"5,347",,45,,"20,509","10,903 ",Australia/Oceania
217,Kiribati,"5,085",,24                                ,,"2,703",,"2,358",3,,"123,419 ",Australia/Oceania
218,Anguilla,"3,904",,12                                ,,N/A,N/A,N/A,N/A,"51,382","15,230 ",North America
219,Wallis and Futuna,"3,550",,8                                ,,438,,"3,104",,"20,508","10,982 ",Australia/Oceania
220,Saint Pierre Miquelon,"3,452",,2                                ,,"2,449",,"1,001",,"25,400","5,759 ",North America
221,Tuvalu,"2,943",,1                                ,,N/A,N/A,N/A,N/A,,"12,066 ",Australia/Oceania
222,Saint Helena,"2,166",, ,,2,,"2,164",,,"6,115 ",Africa
223,Falkland Islands,"1,930",, ,,"1,930",,0,,"8,632","3,539 ",South America
224,Montserrat,"1,403",,8                                ,,"1,376",,19,,"17,762","4,965 ",North America
225,Niue,"1,059",, ,,"1,056",,3,,,"1,622 ",Australia/Oceania
226,Diamond Princess,712,,13                                ,,699,,0,,, ,
227,Tokelau,80,, ,,,,80,,,"1,378 ",Australia/Oceania
228,Vatican City,29,, ,,29,,0,,,799 ,Europe
229,Western Sahara,10,,1                                ,,9,,0,,,"626,161 ",Africa
230,MS Zaandam,9,,2                                ,,7,,0,,, ,
231,China,"503,302",,"5,272                                ",,"379,053",,"118,977",N/A,"160,000,000","1,448,471,400                                ",Asia
